component,bus,carrier,2025,2035,2045
Generator,DE0 14 urban decentral heat,urban decentral heat vent,14.22573,14.99918,0.77616
Generator,DE0 15,onwind,1851.99869,5059.8472,6916.06137
Generator,DE0 15,ror,61.2854,61.2854,61.2854
Generator,DE0 15,solar,3567.77331,3568.08521,3482.99135
Generator,DE0 15,solar-hsat,1.03163,15194.95418,21677.92502
Generator,DE0 15 biogas,unsustainable biogas,3060895.5393,1033251.7886,
Generator,DE0 15 low voltage,solar rooftop,12.49308,5401.04487,5401.04627
Generator,DE0 15 rural heat,rural heat vent,86.48615,51.00136,1.01205
Generator,DE0 15 solid biomass,solid biomass,10000.0,3369101.07033,4865906.90244
Generator,DE0 15 solid biomass,unsustainable solid biomass,5154896.33331,1746737.91553,
Generator,DE0 15 unsustainable bioliquids,unsustainable bioliquids,1442777.03593,487031.30629,
Generator,DE0 15 urban central heat,urban central heat vent,0.06406,6.82239,0.34141
Generator,DE0 15 urban decentral heat,urban decentral heat vent,0.56246,53.02986,1.03965
Generator,DE0 16,onwind,1421.50415,996.7238,459.97369
Generator,DE0 16,ror,316.7048,316.7048,316.7048
Generator,DE0 16,solar,1534.59014,1534.88394,1498.13245
Generator,DE0 16,solar-hsat,2661.84006,2690.94959,2691.03894
Generator,DE0 16 biogas,unsustainable biogas,2291523.79553,722999.02761,
Generator,DE0 16 low voltage,solar rooftop,0.43032,4925.16619,4925.16754
Generator,DE0 16 rural heat,rural heat vent,18.86882,27.81896,0.98101
Generator,DE0 16 solid biomass,solid biomass,10000.0,2750339.27541,4016363.78734
Generator,DE0 16 solid biomass,unsustainable solid biomass,3861700.33474,1225250.56913,
Generator,DE0 16 unsustainable bioliquids,unsustainable bioliquids,1080127.65122,340791.24251,
Generator,DE0 16 urban central heat,urban central heat vent,60.05628,6.77942,0.70031
Generator,DE0 16 urban decentral heat,urban decentral heat vent,0.53821,33.142,1.36484
Generator,DE0 17,onwind,1259.94989,883.6045,409.18208
Generator,DE0 17,ror,1.938,1.938,1.938
Generator,DE0 17,solar,2202.85578,2203.13619,2150.51651
Generator,DE0 17,solar-hsat,1.15262,9.3732,6530.99804
Generator,DE0 17 biogas,unsustainable biogas,2839696.56698,926003.9421,
Generator,DE0 17 low voltage,solar rooftop,0.23936,9515.27886,9515.27894
Generator,DE0 17 rural heat,rural heat vent,5.56402,11.65429,0.76541
Generator,DE0 17 solid biomass,solid biomass,10000.0,3209038.76027,4634278.53642
Generator,DE0 17 solid biomass,unsustainable solid biomass,4783094.75857,1566470.72081,
Generator,DE0 17 unsustainable bioliquids,unsustainable bioliquids,1338513.17147,436479.19561,
Generator,DE0 17 urban central heat,urban central heat vent,0.06796,7.91458,0.27656
Generator,DE0 17 urban decentral heat,urban decentral heat vent,34.50133,21.69083,1.0046
Generator,DE0 18,offwind-ac,2224.09269,2224.25023,1355.58491
Generator,DE0 18,onwind,5155.16901,8488.07005,8488.06996
Generator,DE0 18,ror,0.11,0.11,0.11
Generator,DE0 18,solar,3686.25338,3686.45144,3598.57319
Generator,DE0 18,solar-hsat,0.31218,0.36076,0.02619
Generator,DE0 18 biogas,unsustainable biogas,2973310.21379,1035784.58293,
Generator,DE0 18 low voltage,solar rooftop,0.22542,6009.00993,8256.39929
Generator,DE0 18 rural heat,rural heat vent,10.87795,14.00681,0.73276
Generator,DE0 18 solid biomass,solid biomass,10000.0,3378087.32264,4903783.43599
Generator,DE0 18 solid biomass,unsustainable solid biomass,5007678.82318,1750995.15465,
Generator,DE0 18 unsustainable bioliquids,unsustainable bioliquids,1401493.0082,488225.15869,
Generator,DE0 18 urban central heat,urban central heat vent,0.09778,6.73968,0.23999
Generator,DE0 18 urban decentral heat,urban decentral heat vent,66.67017,11.88641,0.86603
Generator,DE0 19,onwind,2421.49081,1698.29188,8022.12757
Generator,DE0 19,ror,11.548,11.548,11.548
Generator,DE0 19,solar,3783.11345,3783.4204,3693.19858
Generator,DE0 19,solar-hsat,0.99423,2905.5005,10676.46981
Generator,DE0 19 biogas,unsustainable biogas,1752596.35968,570385.49907,
Generator,DE0 19 low voltage,solar rooftop,1.39504,3437.18717,3437.18733
Generator,DE0 19 rural heat,rural heat vent,11.7286,13.11604,0.68437
Generator,DE0 19 solid biomass,solid biomass,10000.0,1582757.33784,2311256.90837
Generator,DE0 19 solid biomass,unsustainable solid biomass,2955845.90325,968730.61496,
Generator,DE0 19 unsustainable bioliquids,unsustainable bioliquids,826099.99216,268855.66303,
Generator,DE0 19 urban central heat,urban central heat vent,0.05257,6.02939,0.25152
Generator,DE0 19 urban decentral heat,urban decentral heat vent,0.49486,26.20978,0.87966
Generator,DE0 2,onwind,1294.05927,4832.50357,4832.50354
Generator,DE0 2,ror,17.587,17.587,17.587
Generator,DE0 2,solar,3530.72357,3531.00284,3446.79696
Generator,DE0 2,solar-hsat,0.58903,29957.33671,37796.48907
Generator,DE0 2 biogas,unsustainable biogas,3011040.4749,1044411.1856,
Generator,DE0 2 low voltage,solar rooftop,81.96828,19491.06911,19491.09569
Generator,DE0 2 rural heat,rural heat vent,4.31263,12.95774,0.71922
Generator,DE0 2 solid biomass,solid biomass,10000.0,2491928.51764,3752757.10955
