component,name,bus,carrier,2025,2035,2045
Generator,DE0 2 0 solar-2015,DE0 2,solar,3150.80935,3150.80935,3150.80935
Generator,DE0 2 0 solar-2020,DE0 2,solar,2145.33616,2145.33616,2145.33616
Generator,DE0 2 0 solar-2025,DE0 2,solar,4168.01472,4168.01472,4168.01472
Generator,DE0 2 0 solar-hsat-2025,DE0 2,solar-hsat,0.06177,,
Generator,DE0 2 biogas unsustainable,DE0 2 biogas,unsustainable biogas,13046697.19156,4358933.90023,
Generator,DE0 2 ror,DE0 2,ror,23.404,23.404,23.404
Generator,DE0 2 rural heat vent,DE0 2 rural heat,rural heat vent,0.00509,1.12149,0.76056
Generator,DE0 2 solid biomass transported,DE0 2 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 2 unsustainable bioliquids,DE0 2 unsustainable bioliquids,unsustainable bioliquids,6149662.69221,2054617.56263,
Generator,DE0 2 unsustainable solid biomass,DE0 2 solid biomass,unsustainable solid biomass,21929498.63233,7326699.8996,
Generator,DE0 2 unsustainable solid biomass transported,DE0 2 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 2 urban central heat vent,DE0 2 urban central heat,urban central heat vent,0.03063,0.10081,1.19812
Generator,DE0 2 urban decentral heat vent,DE0 2 urban decentral heat,urban decentral heat vent,0.00382,0.88112,0.84801
Generator,DE0 3 0 offwind-ac-2010,DE0 3,offwind-ac,21.88842,21.88842,
Generator,DE0 3 0 offwind-ac-2015,DE0 3,offwind-ac,876.35756,876.35756,
Generator,DE0 3 0 offwind-ac-2020,DE0 3,offwind-ac,1232.31797,1232.31797,1232.31797
Generator,DE0 3 0 offwind-ac-2025,DE0 3,offwind-ac,919.63558,919.63558,919.63558
Generator,DE0 3 0 offwind-dc-2025,DE0 3,offwind-dc,0.06249,,
Generator,DE0 3 0 onwind-2000,DE0 3,onwind,895.20059,,
Generator,DE0 3 0 onwind-2005,DE0 3,onwind,1784.96683,,
Generator,DE0 3 0 onwind-2010,DE0 3,onwind,1259.44957,1259.44957,
Generator,DE0 3 0 onwind-2015,DE0 3,onwind,2125.86274,2125.86274,
Generator,DE0 3 0 onwind-2020,DE0 3,onwind,1926.55393,1926.55393,1926.55393
Generator,DE0 3 0 onwind-2025,DE0 3,onwind,974.95626,974.95626,974.95626
Generator,DE0 3 0 solar rooftop-2025,DE0 3 low voltage,solar rooftop,0.05057,,
Generator,DE0 3 0 solar-2000,DE0 3,solar,17.46664,17.46664,
Generator,DE0 3 0 solar-2005,DE0 3,solar,297.54574,297.54574,
Generator,DE0 3 0 solar-2010,DE0 3,solar,2443.49096,2443.49096,2443.49096
Generator,DE0 3 0 solar-2015,DE0 3,solar,3250.94,3250.94,3250.94
Generator,DE0 3 0 solar-2020,DE0 3,solar,2213.51354,2213.51354,2213.51354
Generator,DE0 3 0 solar-2025,DE0 3,solar,4300.47163,4300.47163,4300.47163
Generator,DE0 3 0 solar-hsat-2025,DE0 3,solar-hsat,0.10658,,
Generator,DE0 3 biogas unsustainable,DE0 3 biogas,unsustainable biogas,13145784.55736,4364804.0486,
Generator,DE0 3 ror,DE0 3,ror,93.0114,93.0114,93.0114
Generator,DE0 3 rural heat vent,DE0 3 rural heat,rural heat vent,0.00541,1.17224,0.75885
Generator,DE0 3 solid biomass transported,DE0 3 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 3 unsustainable bioliquids,DE0 3 unsustainable bioliquids,unsustainable bioliquids,6196368.29653,2057384.50294,
Generator,DE0 3 unsustainable solid biomass,DE0 3 solid biomass,unsustainable solid biomass,22096049.30956,7336566.71944,
Generator,DE0 3 unsustainable solid biomass transported,DE0 3 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 3 urban central heat vent,DE0 3 urban central heat,urban central heat vent,1608.01797,0.07842,1.14803
Generator,DE0 3 urban decentral heat vent,DE0 3 urban decentral heat,urban decentral heat vent,0.00434,0.81314,0.78819
Generator,DE0 4 0 onwind-2000,DE0 4,onwind,513.74258,,
Generator,DE0 4 0 onwind-2005,DE0 4,onwind,1024.36645,,
Generator,DE0 4 0 onwind-2010,DE0 4,onwind,722.77975,722.77975,
Generator,DE0 4 0 onwind-2015,DE0 4,onwind,1220.00165,1220.00165,
Generator,DE0 4 0 onwind-2020,DE0 4,onwind,1105.62122,1105.62122,1105.62122
Generator,DE0 4 0 onwind-2025,DE0 4,onwind,559.51358,559.51358,559.51358
Generator,DE0 4 0 solar rooftop-2025,DE0 4 low voltage,solar rooftop,0.04438,,
Generator,DE0 4 0 solar-2000,DE0 4,solar,11.6871,11.6871,
Generator,DE0 4 0 solar-2005,DE0 4,solar,199.09072,199.09072,
Generator,DE0 4 0 solar-2010,DE0 4,solar,1634.96337,1634.96337,1634.96337
Generator,DE0 4 0 solar-2015,DE0 4,solar,2175.23531,2175.23531,2175.23531
Generator,DE0 4 0 solar-2020,DE0 4,solar,1481.08326,1481.08326,1481.08326
Generator,DE0 4 0 solar-2025,DE0 4,solar,2877.48729,2877.48729,2877.48729
Generator,DE0 4 0 solar-hsat-2025,DE0 4,solar-hsat,0.07557,,
Generator,DE0 4 biogas unsustainable,DE0 4 biogas,unsustainable biogas,8337926.76658,2825553.32512,
Generator,DE0 4 ror,DE0 4,ror,280.359,280.359,280.359
Generator,DE0 4 rural heat vent,DE0 4 rural heat,rural heat vent,0.00517,0.24846,0.79257
Generator,DE0 4 solid biomass transported,DE0 4 solid biomass,solid biomass,10000.0,10000.0,10000.0
Generator,DE0 4 unsustainable bioliquids,DE0 4 unsustainable bioliquids,unsustainable bioliquids,3930146.94937,1331846.64388,
Generator,DE0 4 unsustainable solid biomass,DE0 4 solid biomass,unsustainable solid biomass,14014777.14548,4749322.1364,
Generator,DE0 4 unsustainable solid biomass transported,DE0 4 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,DE0 4 urban central heat vent,DE0 4 urban central heat,urban central heat vent,0.03531,0.07458,1.15532
Generator,DE0 4 urban decentral heat vent,DE0 4 urban decentral heat,urban decentral heat vent,0.00445,0.19174,1.04474
Generator,DE0 5 0 onwind-2000,DE0 5,onwind,817.36249,,
Generator,DE0 5 0 onwind-2005,DE0 5,onwind,1629.76315,,
Generator,DE0 5 0 onwind-2010,DE0 5,onwind,1149.93985,1149.93985,
Generator,DE0 5 0 onwind-2015,DE0 5,onwind,1941.01801,1941.01801,
Generator,DE0 5 0 onwind-2020,DE0 5,onwind,1759.03919,1759.03919,1759.03919
Generator,DE0 5 0 onwind-2025,DE0 5,onwind,890.18159,890.18159,890.18159
Generator,DE0 5 0 solar rooftop-2025,DE0 5 low voltage,solar rooftop,0.05461,,
Generator,DE0 5 0 solar-2000,DE0 5,solar,13.9306,13.9306,
Generator,DE0 5 0 solar-2005,DE0 5,solar,237.30907,237.30907,
Generator,DE0 5 0 solar-2010,DE0 5,solar,1948.81824,1948.81824,1948.81824
Generator,DE0 5 0 solar-2015,DE0 5,solar,2592.8032,2592.8032,2592.8032
Generator,DE0 5 0 solar-2020,DE0 5,solar,1765.39861,1765.39861,1765.39861
