component,bus,carrier,2025,2035,2045
Generator,AT0 0,onwind,3977.23624,3152.28033,3089.90918
Generator,AT0 0,ror,4466.08037,4466.08037,4466.08037
Generator,AT0 0,solar,6832.68627,6832.73224,6810.73489
Generator,AT0 0,solar-hsat,636.16108,21227.35833,31301.40185
Generator,AT0 0 biogas,unsustainable biogas,2495390.95,823479.0135,
Generator,AT0 0 low voltage,solar rooftop,1996.43803,17561.20925,17561.20986
Generator,AT0 0 rural heat,rural heat vent,0.09503,2.31439,0.93867
Generator,AT0 0 solid biomass,solid biomass,10000.0,23163696.45769,34860149.73569
Generator,AT0 0 solid biomass,unsustainable solid biomass,54288687.01,17921966.7133,
Generator,AT0 0 unsustainable bioliquids,unsustainable bioliquids,4624553.2,1526102.556,
Generator,AT0 0 urban central heat,urban central heat vent,0.04906,1.02827,1.20078
Generator,AT0 0 urban decentral heat,urban decentral heat vent,0.09072,2.16542,0.74903
Generator,BE0 0,offwind-ac,2261.81701,2470.16439,2470.16458
Generator,BE0 0,offwind-dc,0.01772,2599.21282,2599.21297
Generator,BE0 0,onwind,3241.75063,7109.70415,7109.70433
Generator,BE0 0,ror,59.01534,59.01534,59.01534
Generator,BE0 0,solar,8547.10023,8547.13981,8547.14142
Generator,BE0 0,solar-hsat,0.25692,7440.67923,24518.75854
Generator,BE0 0 biogas,unsustainable biogas,2693891.79,888984.2907,
Generator,BE0 0 low voltage,solar rooftop,0.10221,23322.21254,23322.21337
Generator,BE0 0 rural heat,rural heat vent,0.0386,1.98007,0.78993
Generator,BE0 0 solid biomass,solid biomass,10000.0,8132067.31807,12552464.10648
Generator,BE0 0 solid biomass,unsustainable solid biomass,13905640.3,4595561.299,
Generator,BE0 0 unsustainable bioliquids,unsustainable bioliquids,5297755.75,1748259.3975,
Generator,BE0 0 urban central heat,urban central heat vent,0.01258,0.81009,0.26517
Generator,BE0 0 urban decentral heat,urban decentral heat vent,0.06663,2.01719,1.09041
Generator,CH0 0,onwind,75.00633,75.00488,27.00105
Generator,CH0 0,ror,4210.8808,4210.8808,4210.8808
Generator,CH0 0,solar,5839.92026,5839.96069,5811.9584
Generator,CH0 0,solar-hsat,13630.72949,32396.92161,47298.02488
Generator,CH0 0 biogas,biogas,10858.55202,10863.18834,10865.07353
Generator,CH0 0 low voltage,solar rooftop,4648.50124,16186.32665,16186.33062
Generator,CH0 0 rural heat,rural heat vent,2.79853,1.96015,0.6342
Generator,CH0 0 solid biomass,solid biomass,13619951.75227,11474655.61478,11209377.23788
Generator,CH0 0 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,CH0 0 urban central heat,urban central heat vent,1.3115,0.81838,0.75852
Generator,CH0 0 urban decentral heat,urban decentral heat vent,1.22095,2.03197,0.72627
Generator,CZ0 0,onwind,339.45321,7412.24411,11684.7556
Generator,CZ0 0,ror,40.22638,40.22638,40.22638
Generator,CZ0 0,solar,2505.69542,2505.73311,2505.73248
