component,bus,carrier,2025,2035,2045
Generator,DE0 2 solid biomass,solid biomass,10000.0,15134866.55862,22671136.54352
Generator,DE0 2 solid biomass,unsustainable solid biomass,21939498.63233,7336699.8996,
Generator,DE0 2 unsustainable bioliquids,unsustainable bioliquids,6149662.69221,2054617.56263,
Generator,DE0 2 urban central heat,urban central heat vent,125.64093,6.96423,4.71957
Generator,DE0 2 urban decentral heat,urban decentral heat vent,43.03454,13.12135,9.03535
Generator,DE0 3,offwind-ac,3050.20383,3480.73699,3480.73504
Generator,DE0 3,offwind-dc,0.38692,759.03956,759.0403
Generator,DE0 3,onwind,8966.9972,33462.97111,33462.98997
Generator,DE0 3,ror,93.0114,93.0114,93.0114
Generator,DE0 3,solar,12523.42753,12523.78336,12209.15941
Generator,DE0 3,solar-hsat,0.93237,8552.44527,20092.23188
Generator,DE0 3 biogas,unsustainable biogas,13145784.55736,4364804.0486,
Generator,DE0 3 low voltage,solar rooftop,1.43866,22096.58226,22096.60699
Generator,DE0 3 rural heat,rural heat vent,30.58899,14.43899,8.04591
Generator,DE0 3 solid biomass,solid biomass,10000.0,15080775.85107,21906172.13015
Generator,DE0 3 solid biomass,unsustainable solid biomass,22106049.30956,7346566.71944,
Generator,DE0 3 unsustainable bioliquids,unsustainable bioliquids,6196368.29653,2057384.50294,
Generator,DE0 3 urban central heat,urban central heat vent,60.68319,6.72444,7.88815
Generator,DE0 3 urban decentral heat,urban decentral heat vent,157.40892,22.32979,8.8937
Generator,DE0 4,onwind,5146.02839,19203.92234,19203.92222
Generator,DE0 4,ror,280.359,280.359,280.359
Generator,DE0 4,solar,8379.5462,8379.89059,8169.50905
Generator,DE0 4,solar-hsat,0.66759,6507.32467,17607.81992
Generator,DE0 4 biogas,unsustainable biogas,8337926.76658,2825553.32512,
Generator,DE0 4 low voltage,solar rooftop,0.78356,33620.20166,33620.23455
Generator,DE0 4 rural heat,rural heat vent,11.40276,12.65454,7.47743
Generator,DE0 4 solid biomass,solid biomass,10000.0,8380772.65836,12575439.63439
Generator,DE0 4 solid biomass,unsustainable solid biomass,14024777.14548,4759322.1364,
Generator,DE0 4 unsustainable bioliquids,unsustainable bioliquids,3930146.94937,1331846.64388,
Generator,DE0 4 urban central heat,urban central heat vent,0.11774,6.7949,2.64146
Generator,DE0 4 urban decentral heat,urban decentral heat vent,33.01426,11.88034,8.69843
Generator,DE0 5,onwind,8187.30406,5740.74849,16295.94173
Generator,DE0 5,ror,158.00312,158.00312,158.00312
Generator,DE0 5,solar,9988.1213,9988.42541,9737.59829
Generator,DE0 5,solar-hsat,0.91692,2.2849,2.0803
Generator,DE0 5 biogas,unsustainable biogas,10771523.78276,3501018.7056,
Generator,DE0 5 low voltage,solar rooftop,0.35998,13438.61639,13438.61742
Generator,DE0 5 rural heat,rural heat vent,7.42699,11.81912,6.98651
Generator,DE0 5 solid biomass,solid biomass,10000.0,13327432.50896,19391885.46567
Generator,DE0 5 solid biomass,unsustainable solid biomass,18115280.79206,5894675.92901,
Generator,DE0 5 unsustainable bioliquids,unsustainable bioliquids,5077241.92356,1650232.5303,
Generator,DE0 5 urban central heat,urban central heat vent,0.08382,91.21212,2.81359
Generator,DE0 5 urban decentral heat,urban decentral heat vent,45.7867,37.63484,6.05646
Generator,DE0 6,onwind,4689.58056,3288.34723,15607.58408
Generator,DE0 6,ror,250.4458,250.4458,250.4458
Generator,DE0 6,solar,6945.2833,6945.59732,6780.63401
Generator,DE0 6,solar-hsat,5.4238,23463.69648,30272.62341
Generator,DE0 6 biogas,unsustainable biogas,9346726.68017,3040859.75643,
Generator,DE0 6 low voltage,solar rooftop,0.37975,24629.40879,24629.41752
Generator,DE0 6 rural heat,rural heat vent,10.03495,15.94763,7.32293
Generator,DE0 6 solid biomass,solid biomass,10000.0,10895123.98203,15957707.30863
Generator,DE0 6 solid biomass,unsustainable solid biomass,15720415.20625,5121219.25271,
Generator,DE0 6 unsustainable bioliquids,unsustainable bioliquids,4405652.67327,1433333.01308,
Generator,DE0 6 urban central heat,urban central heat vent,170.93888,13.23878,2.93294
Generator,DE0 6 urban decentral heat,urban decentral heat vent,29.89863,43.09541,8.70731
Generator,DE0 7,onwind,9118.93615,6393.57172,2951.02497
Generator,DE0 7,ror,1482.1745,1482.1745,1482.1745
Generator,DE0 7,solar,9204.43095,9204.77442,8973.80072
Generator,DE0 7,solar-hsat,3.20199,22773.60347,23858.63539
Generator,DE0 7 biogas,unsustainable biogas,12606447.12343,4024048.29668,
Generator,DE0 7 low voltage,solar rooftop,0.42955,16437.0684,16437.07128
Generator,DE0 7 rural heat,rural heat vent,22.60782,14.29974,8.29976
Generator,DE0 7 solid biomass,solid biomass,10000.0,17001534.47412,24919477.00071
Generator,DE0 7 solid biomass,unsustainable solid biomass,21199505.73412,6773808.51972,
Generator,DE0 7 unsustainable bioliquids,unsustainable bioliquids,5942147.38167,1896766.61598,
Generator,DE0 7 urban central heat,urban central heat vent,0.13218,7.27801,5.89565
Generator,DE0 7 urban decentral heat,urban decentral heat vent,207.35285,36.0377,9.67019
Generator,DK0 0,offwind-ac,1606.51329,1350.71126,838.06731
Generator,DK0 0,offwind-dc,0.12933,0.20132,0.14216
Generator,DK0 0,onwind,7147.26023,30113.54073,30113.55083
Generator,DK0 0,solar,2684.36748,2684.6123,2684.48629
Generator,DK0 0,solar-hsat,0.561,0.51564,0.15228
Generator,DK0 0 biogas,unsustainable biogas,3387534.73394,1103715.61627,
Generator,DK0 0 low voltage,solar rooftop,0.32643,0.49921,5212.19788
Generator,DK0 0 rural heat,rural heat vent,1.50765,14.29666,7.25062
Generator,DK0 0 solid biomass,solid biomass,10000.0,6478834.53521,9867952.72406
Generator,DK0 0 solid biomass,unsustainable solid biomass,12853294.59265,4194560.72618,
Generator,DK0 0 unsustainable bioliquids,unsustainable bioliquids,29370.0967,9569.26996,
Generator,DK0 0 urban central heat,urban central heat vent,0.36893,18.2541,8.56712
Generator,DK0 0 urban decentral heat,urban decentral heat vent,5.73012,12.33904,5.89205
Generator,DK1 0,offwind-ac,1050.44303,883.24371,548.01979
Generator,DK1 0,offwind-dc,0.09367,0.08967,0.06656
Generator,DK1 0,onwind,4843.94185,7483.36136,7483.36291
Generator,DK1 0,solar,837.64174,837.88199,837.8132
Generator,DK1 0,solar-hsat,0.58726,0.5184,0.28161
Generator,DK1 0 biogas,unsustainable biogas,1190661.28606,407089.07033,
Generator,DK1 0 low voltage,solar rooftop,0.3142,2136.92512,3011.02603
