component,bus,carrier,2025,2035,2045
Generator,AT0 0,onwind,3977.24028,3153.37668,1489.24421
Generator,AT0 0,ror,4466.08037,4466.08037,4466.08037
Generator,AT0 0,solar,6832.69116,6833.0492,6810.73928
Generator,AT0 0,solar-hsat,1312.98804,23769.0333,33028.38162
Generator,AT0 0 biogas,unsustainable biogas,2495390.95,823479.0135,
Generator,AT0 0 low voltage,solar rooftop,1383.22494,17561.20501,17561.20985
Generator,AT0 0 rural heat,rural heat vent,1.24454,15.36611,0.52929
Generator,AT0 0 solid biomass,solid biomass,10000.0,23163696.45769,34860149.73569
Generator,AT0 0 solid biomass,unsustainable solid biomass,54288687.01,17921966.7133,
Generator,AT0 0 unsustainable bioliquids,unsustainable bioliquids,4624553.2,1526102.556,
Generator,AT0 0 urban central heat,urban central heat vent,0.22315,10.05224,0.33845
Generator,AT0 0 urban decentral heat,urban decentral heat vent,1.06595,15.93733,0.5243
Generator,BE0 0,offwind-ac,2261.91246,2470.16138,2470.16457
Generator,BE0 0,offwind-dc,0.13575,2599.20867,2599.21297
Generator,BE0 0,onwind,3241.75771,7109.70259,7109.70432
Generator,BE0 0,ror,59.01534,59.01534,59.01534
Generator,BE0 0,solar,8547.10349,8547.40191,8547.14403
Generator,BE0 0,solar-hsat,3.13789,5814.79569,21983.42717
Generator,BE0 0 biogas,unsustainable biogas,2693891.79,888984.2907,
Generator,BE0 0 low voltage,solar rooftop,1.38414,23322.20829,23322.21337
Generator,BE0 0 rural heat,rural heat vent,0.23303,16.50143,0.5306
Generator,BE0 0 solid biomass,solid biomass,10000.0,8132067.31807,12552464.10648
Generator,BE0 0 solid biomass,unsustainable solid biomass,13905640.3,4595561.299,
Generator,BE0 0 unsustainable bioliquids,unsustainable bioliquids,5297755.75,1748259.3975,
Generator,BE0 0 urban central heat,urban central heat vent,0.10847,6.16396,0.20661
Generator,BE0 0 urban decentral heat,urban decentral heat vent,0.6313,15.6076,0.72923
Generator,CH0 0,onwind,75.0647,75.03443,27.00113
Generator,CH0 0,ror,4210.8808,4210.8808,4210.8808
Generator,CH0 0,solar,5839.9206,5840.20975,5811.95674
Generator,CH0 0,solar-hsat,17002.72611,38109.76344,52939.64339
Generator,CH0 0 biogas,biogas,10858.55202,10863.18834,10865.07353
Generator,CH0 0 low voltage,solar rooftop,2539.78786,16186.30876,16186.33062
Generator,CH0 0 rural heat,rural heat vent,10.17659,19.71036,0.55081
Generator,CH0 0 solid biomass,solid biomass,13619951.75227,11474655.61478,11209377.23788
Generator,CH0 0 solid biomass,unsustainable solid biomass,10000.0,10000.0,
Generator,CH0 0 urban central heat,urban central heat vent,5.13226,6.29147,0.51683
Generator,CH0 0 urban decentral heat,urban decentral heat vent,4.81163,15.92483,0.55436
Generator,CZ0 0,onwind,339.70975,5380.85095,9906.8305
