component,bus,carrier,2025,2035,2045
Generator,DE gas primary,gas primary,239041.86429,139903.50439,57617.785
Generator,DE oil primary,oil primary,199301.15933,78930.10061,26927.30833
Generator,DE0 0,onwind,6046.13185,4239.50468,1956.50431
Generator,DE0 0,ror,465.04803,465.04803,465.04803
Generator,DE0 0,solar,7610.84085,7611.30383,7419.4414
Generator,DE0 0,solar-hsat,27121.82395,35194.15912,35194.2989
Generator,DE0 0 biogas,unsustainable biogas,7897266.7316,2574282.6805,
Generator,DE0 0 low voltage,solar rooftop,0.36011,17857.54777,17857.55043
Generator,DE0 0 rural heat,rural heat vent,9.5013,21.78271,1.2428
Generator,DE0 0 solid biomass,solid biomass,10000.0,9375203.25549,13724299.98384
Generator,DE0 0 solid biomass,unsustainable solid biomass,13284095.15582,4336974.68887,
Generator,DE0 0 unsustainable bioliquids,unsustainable bioliquids,3722438.39775,1213408.26165,
Generator,DE0 0 urban central heat,urban central heat vent,639.67249,11.17014,1.9228
Generator,DE0 0 urban decentral heat,urban decentral heat vent,52.5583,37.30598,1.4716
Generator,DE0 1,offwind-ac,4479.42255,4479.59346,2730.18409
Generator,DE0 1,offwind-dc,0.70015,821.37058,821.37107
Generator,DE0 1,onwind,18654.88348,39956.15,39956.15014
Generator,DE0 1,ror,19.03,19.03,19.03
Generator,DE0 1,solar,14937.95229,14938.30705,14562.22185
Generator,DE0 1,solar-hsat,0.36495,0.99372,0.02143
Generator,DE0 1 biogas,unsustainable biogas,13162904.77653,4454540.89813,
Generator,DE0 1 low voltage,solar rooftop,0.32173,18640.9357,18640.97878
Generator,DE0 1 rural heat,rural heat vent,9.61074,17.45107,0.9317
Generator,DE0 1 solid biomass,solid biomass,10000.0,15434468.09196,22619500.76903
Generator,DE0 1 solid biomass,unsustainable solid biomass,22134825.77438,7497400.61174,
Generator,DE0 1 unsustainable bioliquids,unsustainable bioliquids,6204438.04564,2099682.66834,
Generator,DE0 1 urban central heat,urban central heat vent,0.04805,10.13911,0.31767
Generator,DE0 1 urban decentral heat,urban decentral heat vent,61.30175,24.42248,0.8922
Generator,DE0 2,offwind-ac,1627.37898,2462.55374,2462.60239
Generator,DE0 2,offwind-dc,2842.00765,37996.66946,59746.05321
Generator,DE0 2,onwind,8190.11339,30563.79965,30563.80275
Generator,DE0 2,ror,23.404,23.404,23.404
Generator,DE0 2,solar,12137.69939,12138.06183,11832.40641
Generator,DE0 2,solar-hsat,0.37863,1.05005,0.02015
Generator,DE0 2 biogas,unsustainable biogas,13046697.19156,4358933.90023,
Generator,DE0 2 low voltage,solar rooftop,0.31589,17955.01854,17955.12053
Generator,DE0 2 rural heat,rural heat vent,6.51178,19.13895,0.9595
Generator,DE0 2 solid biomass,solid biomass,10000.0,15134866.55862,22671136.54352
Generator,DE0 2 solid biomass,unsustainable solid biomass,21939498.63233,7336699.8996,
Generator,DE0 2 unsustainable bioliquids,unsustainable bioliquids,6149662.69221,2054617.56263,
Generator,DE0 2 urban central heat,urban central heat vent,97.74537,9.70607,206.38678
Generator,DE0 2 urban decentral heat,urban decentral heat vent,31.58221,17.29087,0.85005
Generator,DE0 3,offwind-ac,3050.22523,3480.73677,3480.73702
Generator,DE0 3,offwind-dc,0.25988,759.03899,759.04028
Generator,DE0 3,onwind,8966.99334,33462.97297,33462.99029
Generator,DE0 3,ror,93.0114,93.0114,93.0114
Generator,DE0 3,solar,12523.4275,12523.90939,12208.45575
Generator,DE0 3,solar-hsat,0.7296,14127.61552,21057.69488
Generator,DE0 3 biogas,unsustainable biogas,13145784.55736,4364804.0486,
Generator,DE0 3 low voltage,solar rooftop,1.17127,22096.59644,22096.60737
Generator,DE0 3 rural heat,rural heat vent,14.39132,21.44497,1.07751
Generator,DE0 3 solid biomass,solid biomass,10000.0,15080775.85107,21906172.13015
Generator,DE0 3 solid biomass,unsustainable solid biomass,22106049.30956,7346566.71944,
Generator,DE0 3 unsustainable bioliquids,unsustainable bioliquids,6196368.29653,2057384.50294,
Generator,DE0 3 urban central heat,urban central heat vent,0.25813,9.62516,6.00921
Generator,DE0 3 urban decentral heat,urban decentral heat vent,74.74759,40.75543,1.12315
Generator,DE0 4,onwind,5146.02977,19203.92233,19203.92245
Generator,DE0 4,ror,280.359,280.359,280.359
Generator,DE0 4,solar,8379.54616,8380.02056,8168.81101
Generator,DE0 4,solar-hsat,0.5471,19641.69638,26218.88657
Generator,DE0 4 biogas,unsustainable biogas,8337926.76658,2825553.32512,
Generator,DE0 4 low voltage,solar rooftop,0.62246,33620.20088,33620.23441
Generator,DE0 4 rural heat,rural heat vent,6.42675,19.73806,1.10112
Generator,DE0 4 solid biomass,solid biomass,10000.0,8380772.65836,12575439.63439
Generator,DE0 4 solid biomass,unsustainable solid biomass,14024777.14548,4759322.1364,
Generator,DE0 4 unsustainable bioliquids,unsustainable bioliquids,3930146.94937,1331846.64388,
Generator,DE0 4 urban central heat,urban central heat vent,0.07898,9.19492,0.31361
Generator,DE0 4 urban decentral heat,urban decentral heat vent,12.56804,16.2124,0.90698
Generator,DE0 5,onwind,8187.30385,5741.28775,15760.69
Generator,DE0 5,ror,158.00312,158.00312,158.00312
Generator,DE0 5,solar,9988.1212,9988.55525,9736.92175
Generator,DE0 5,solar-hsat,0.8889,4.78096,0.19085
Generator,DE0 5 biogas,unsustainable biogas,10771523.78276,3501018.7056,
Generator,DE0 5 low voltage,solar rooftop,0.29787,13438.61396,13438.61735
Generator,DE0 5 rural heat,rural heat vent,6.89633,16.15116,0.94788
Generator,DE0 5 solid biomass,solid biomass,10000.0,13327432.50896,19391885.46567
Generator,DE0 5 solid biomass,unsustainable solid biomass,18115280.79206,5894675.92901,
Generator,DE0 5 unsustainable bioliquids,unsustainable bioliquids,5077241.92356,1650232.5303,
Generator,DE0 5 urban central heat,urban central heat vent,0.0629,24.76668,0.35644
Generator,DE0 5 urban decentral heat,urban decentral heat vent,37.68936,50.22269,0.85801
Generator,DE0 6,onwind,4689.57947,3288.59728,16145.25508
Generator,DE0 6,ror,250.4458,250.4458,250.4458
Generator,DE0 6,solar,6945.29471,6945.71839,6780.08727
Generator,DE0 6,solar-hsat,1141.12524,24050.94228,30432.61623
Generator,DE0 6 biogas,unsustainable biogas,9346726.68017,3040859.75643,
Generator,DE0 6 low voltage,solar rooftop,0.28474,24629.41418,24629.41759
Generator,DE0 6 rural heat,rural heat vent,6.28469,24.13451,1.01635
Generator,DE0 6 solid biomass,solid biomass,10000.0,10895123.98203,15957707.30863
Generator,DE0 6 solid biomass,unsustainable solid biomass,15720415.20625,5121219.25271,
Generator,DE0 6 unsustainable bioliquids,unsustainable bioliquids,4405652.67327,1433333.01308,
Generator,DE0 6 urban central heat,urban central heat vent,144.85529,11.35045,0.41531
Generator,DE0 6 urban decentral heat,urban decentral heat vent,14.89402,60.39076,1.2788
Generator,DE0 7,onwind,9118.93633,6393.64098,2950.68735
Generator,DE0 7,ror,1482.1745,1482.1745,1482.1745
Generator,DE0 7,solar,9204.43091,9204.89302,8972.95849
Generator,DE0 7,solar-hsat,3.11659,25453.09777,25454.8569
Generator,DE0 7 biogas,unsustainable biogas,12606447.12343,4024048.29668,
Generator,DE0 7 low voltage,solar rooftop,0.33834,16437.06663,16437.07126
Generator,DE0 7 rural heat,rural heat vent,26.40157,17.21425,0.94652
Generator,DE0 7 solid biomass,solid biomass,10000.0,17001534.47412,24919477.00071
Generator,DE0 7 solid biomass,unsustainable solid biomass,21199505.73412,6773808.51972,
Generator,DE0 7 unsustainable bioliquids,unsustainable bioliquids,5942147.38167,1896766.61598,
Generator,DE0 7 urban central heat,urban central heat vent,0.10052,10.03702,0.32671
Generator,DE0 7 urban decentral heat,urban decentral heat vent,167.29553,56.57728,1.01439
Line,DE0 0,AC,32874.39807,33127.30576,33878.11511
Line,DE0 1,AC,44232.49334,56411.26461,56470.82579
Line,DE0 2,AC,44293.83234,64082.53973,71296.53157
Line,DE0 3,AC,22522.22597,35064.05334,35064.05607
Line,DE0 4,AC,29895.61816,39812.87575,39812.87803
Line,DE0 5,AC,21308.06497,21308.10859,21308.11126
Line,DE0 6,AC,7954.27402,8222.44827,9545.44982
Link,DE gas,CCGT,11348.26087,10628.22771,7968.10665
Link,DE gas,OCGT,61.21079,57.55556,57.55556
Link,DE gas,SMR,1414.6741,1395.46784,1394.72669
Link,DE gas,SMR CC,598.01025,586.20195,585.57759
Link,DE gas,gas for industry,34549.57635,21572.52362,0.02628
Link,DE gas,gas for industry CC,2.33604,1.49006,11227.80002
Link,DE gas,rural gas boiler,33114.81309,15685.96387,
Link,DE gas,urban central gas CHP,58995.42673,54476.44696,39855.83975
Link,DE gas,urban central gas CHP CC,1.09189,0.86821,0.0469
Link,DE gas,urban central gas boiler,8.69311,6.63248,0.11197
Link,DE gas,urban decentral gas boiler,117389.36413,55605.4882,
Link,DE gas primary,gas compressing,1000000.0,1000000.0,1000000.0
Link,DE methanol,industry methanol,587.89954,728.3105,779.68037
Link,DE methanol,methanol,1000000.0,1000000.0,1000000.0
Link,DE oil,agriculture machinery oil,740.07532,740.07532,740.07532
Link,DE oil,kerosene for aviation,15276.87574,16793.41231,15601.64874
Link,DE oil,land transport oil,129186.84441,42837.75741,3266.28518
Link,DE oil,naphtha for industry,21263.69863,16429.22374,11243.15068
Link,DE oil,oil,2231.42857,1787.42857,1197.14286
Link,DE oil,rural oil boiler,18891.44392,8948.5787,
Link,DE oil,shipping oil,2174.92093,1413.69861,434.98419
Link,DE oil,urban central oil CHP,868.55619,794.67892,
Link,DE oil,urban decentral oil boiler,66968.65877,31721.99626,
Link,DE oil primary,oil refining,1000000.0,1000000.0,1000000.0
Link,DE renewable gas,renewable gas,2000000.0,2000000.0,2000000.0
Link,DE renewable oil,renewable oil,2000000.0,2000000.0,2000000.0
Link,DE0 0,DAC,0.01288,0.01347,0.00137
Link,DE0 0,H2 Electrolysis,0.05089,0.29453,0.0089
Link,DE0 0,battery charger,0.55562,9770.06519,11013.4303
Link,DE0 0,electricity distribution grid,7360.63153,9595.29505,13222.28637
Link,DE0 0 H2,Fischer-Tropsch,0.14351,2.75005,0.0118
Link,DE0 0 H2,H2 Fuel Cell,0.08867,0.152,0.00436
Link,DE0 0 H2,H2 pipeline,7.18925,150.71071,1081.36791
Link,DE0 0 H2,H2 pipeline retrofitted,80.38104,899.9768,899.99984
Link,DE0 0 H2,H2 turbine,0.40084,6.84541,0.17484
Link,DE0 0 H2,Sabatier,0.06184,0.09349,0.00244
Link,DE0 0 H2,methanolisation,64.75835,65.19346,0.02773
Link,DE0 0 battery,battery discharger,0.56856,9971.53103,11240.53523
Link,DE0 0 biogas,biogas to gas,898.47478,898.51751,0.00478
Link,DE0 0 biogas,biogas to gas CC,3.1007,0.04198,236.62925
Link,DE0 0 co2 stored,CO2 pipeline,1.82549,6.01082,398.20785
Link,DE0 0 home battery,home battery discharger,79.68793,27.74131,20.84152
Link,DE0 0 low voltage,BEV charger,5096.37514,31012.08032,47994.86463
Link,DE0 0 low voltage,electricity distribution grid,7360.63153,9595.29505,13222.28637
Link,DE0 0 low voltage,home battery charger,77.87431,27.18082,20.42044
Link,DE0 0 low voltage,rural air heat pump,0.03386,0.03403,0.00094
Link,DE0 0 low voltage,rural ground heat pump,106.20335,508.50508,469.3731
Link,DE0 0 low voltage,rural resistive heater,10.95068,1035.97937,1025.04458
Link,DE0 0 low voltage,urban central air heat pump,0.03881,23.04304,336.37938
Link,DE0 0 low voltage,urban central resistive heater,1.53523,3514.96891,3515.01383
Link,DE0 0 low voltage,urban decentral air heat pump,116.81538,307.72406,1038.1717
Link,DE0 0 low voltage,urban decentral resistive heater,140.15468,950.01371,3280.70861
Link,DE0 0 non-sequestered HVC,waste CHP,729.43367,1088.01285,1088.01451
Link,DE0 0 non-sequestered HVC,waste CHP CC,1.02679,0.18275,0.00196
Link,DE0 0 process emissions,process emissions,191.24683,0.04675,0.00018
Link,DE0 0 process emissions,process emissions CC,14.62249,231.43169,242.43135
Link,DE0 0 rural heat,rural water tanks charger,87.77661,251.68748,252.09346
Link,DE0 0 rural water tanks,rural water tanks discharger,87.77661,251.68748,252.09346
Link,DE0 0 solid biomass,biomass to liquid,0.08146,0.05434,0.00132
Link,DE0 0 solid biomass,biomass to liquid CC,0.05751,0.04379,0.00143
Link,DE0 0 solid biomass,rural biomass boiler,608.41572,288.19754,1e-05
Link,DE0 0 solid biomass,solid biomass,48.99777,,
Link,DE0 0 solid biomass,solid biomass for industry,480.51618,588.9456,0.00105
Link,DE0 0 solid biomass,solid biomass for industry CC,0.2698,0.25276,753.42513
Link,DE0 0 solid biomass,urban central solid biomass CHP,1850.09256,1074.29507,24.79919
Link,DE0 0 solid biomass,urban central solid biomass CHP CC,0.05072,0.03891,0.00138
Link,DE0 0 solid biomass,urban decentral biomass boiler,4028.17447,8200.47088,6292.38897
Link,DE0 0 unsustainable bioliquids,unsustainable bioliquids,3722438.39775,1213408.26165,
Link,DE0 0 urban central heat,urban central water pits charger,608.75935,3093.80337,4061.98839
Link,DE0 0 urban central heat,urban central water tanks charger,1.67523,2.20381,0.32504
Link,DE0 0 urban central water pits,urban central water pits discharger,608.75935,3093.80337,4061.98839
Link,DE0 0 urban central water tanks,urban central water tanks discharger,1.67523,2.20381,0.32504
Link,DE0 0 urban decentral heat,urban decentral water tanks charger,40.26482,72.50241,72.8076
Link,DE0 0 urban decentral water tanks,urban decentral water tanks discharger,40.26482,72.50241,72.8076
Link,DE0 1,DAC,0.01224,0.01382,0.0017
Link,DE0 1,DC,4600.01483,16688.3346,16688.35788
Link,DE0 1,H2 Electrolysis,0.05116,6304.25379,6304.27616
Link,DE0 1,battery charger,0.55997,1700.83944,1701.01449
Link,DE0 1,electricity distribution grid,9059.98012,14338.17245,16966.44419
Link,DE0 1 H2,Fischer-Tropsch,0.14363,1982.56107,1982.57301
Link,DE0 1 H2,H2 Fuel Cell,0.09257,0.13188,0.00368
Link,DE0 1 H2,H2 pipeline,10.16923,19.61119,0.43359
Link,DE0 1 H2,H2 turbine,0.40049,42.99134,43.96415
Link,DE0 1 H2,Sabatier,0.06276,0.09315,0.00242
Link,DE0 1 H2,methanolisation,15.29953,15.95569,0.03078
Link,DE0 1 battery,battery discharger,0.57301,1735.91198,1736.09064
Link,DE0 1 biogas,biogas to gas,1499.44948,1499.49579,0.00391
Link,DE0 1 biogas,biogas to gas CC,3.22623,0.0465,704.22413
Link,DE0 1 co2 stored,CO2 pipeline,160.84623,1180.84658,3464.74109
Link,DE0 1 home battery,home battery discharger,68.39743,62.75838,31.46155
Link,DE0 1 low voltage,BEV charger,5319.95834,32372.61206,50100.44852
Link,DE0 1 low voltage,electricity distribution grid,9059.98012,14338.17245,16966.44419
Link,DE0 1 low voltage,home battery charger,66.84077,61.4904,30.8259
Link,DE0 1 low voltage,rural air heat pump,0.07207,0.03724,0.00093
Link,DE0 1 low voltage,rural ground heat pump,124.17293,978.16089,976.48994
Link,DE0 1 low voltage,rural resistive heater,149.34346,3118.67161,2969.36564
Link,DE0 1 low voltage,urban central air heat pump,0.05317,99.13362,165.39386
Link,DE0 1 low voltage,urban central resistive heater,1184.16073,5125.57713,4768.99552
Link,DE0 1 low voltage,urban decentral air heat pump,121.9388,316.17776,565.52365
Link,DE0 1 low voltage,urban decentral resistive heater,1.44676,1255.38454,2270.88387
Link,DE0 1 non-sequestered HVC,waste CHP,759.6488,1108.79841,1108.80016
Link,DE0 1 non-sequestered HVC,waste CHP CC,1.0842,0.47896,0.00317
Link,DE0 1 process emissions,process emissions,545.94539,0.01785,0.00011
Link,DE0 1 process emissions,process emissions CC,71.60608,510.78842,510.78989
Link,DE0 1 rural heat,rural water tanks charger,1024.08467,1626.38821,1626.63936
Link,DE0 1 rural water tanks,rural water tanks discharger,1024.08467,1626.38821,1626.63936
Link,DE0 1 solid biomass,biomass to liquid,0.0815,0.06015,0.00149
Link,DE0 1 solid biomass,biomass to liquid CC,0.05759,0.05294,0.00294
Link,DE0 1 solid biomass,rural biomass boiler,2036.91981,1272.4611,3e-05
Link,DE0 1 solid biomass,solid biomass,241.27691,,
Link,DE0 1 solid biomass,solid biomass for industry,434.83956,1.0713,0.0008
Link,DE0 1 solid biomass,solid biomass for industry CC,0.26622,525.24223,556.82681
Link,DE0 1 solid biomass,urban central solid biomass CHP,7571.90708,5478.35183,0.00212
Link,DE0 1 solid biomass,urban central solid biomass CHP CC,0.06912,0.04256,0.00159
Link,DE0 1 solid biomass,urban decentral biomass boiler,3387.52653,5775.95837,6996.42647
Link,DE0 1 unsustainable bioliquids,unsustainable bioliquids,6204438.04564,2099682.66834,
Link,DE0 1 urban central heat,urban central water pits charger,1343.94743,5786.72802,5808.14072
Link,DE0 1 urban central heat,urban central water tanks charger,1.5958,2.15982,0.74395
Link,DE0 1 urban central water pits,urban central water pits discharger,1343.94743,5786.72802,5808.14072
Link,DE0 1 urban central water tanks,urban central water tanks discharger,1.5958,2.15982,0.74395
Link,DE0 1 urban decentral heat,urban decentral water tanks charger,24.11886,1130.35155,1130.65647
Link,DE0 1 urban decentral water tanks,urban decentral water tanks discharger,24.11886,1130.35155,1130.65647
Link,DE0 2,DAC,0.01259,0.0142,0.00286
Link,DE0 2,DC,1400.0002,7382.2078,7382.25393
Link,DE0 2,H2 Electrolysis,0.05077,11925.72686,21698.7634
Link,DE0 2,battery charger,0.5576,3401.8011,6135.29651
Link,DE0 2,electricity distribution grid,8236.51125,15900.8475,17581.35865
Link,DE0 2 H2,Fischer-Tropsch,0.14353,3.56216,0.01091
Link,DE0 2 H2,H2 Fuel Cell,0.09053,0.12989,0.00398
Link,DE0 2 H2,H2 pipeline,5.53594,17.64137,0.37227
Link,DE0 2 H2,H2 turbine,0.40088,38.87232,39.5165
Link,DE0 2 H2,Sabatier,0.062,0.09281,0.0024
Link,DE0 2 H2,methanolisation,7.6068,0.62616,0.02813
Link,DE0 2 battery,battery discharger,0.57059,3471.94871,6261.81078
Link,DE0 2 biogas,biogas to gas,1486.84411,1486.89128,0.00363
Link,DE0 2 biogas,biogas to gas CC,2.56589,0.04751,1026.16762
Link,DE0 2 co2 stored,CO2 pipeline,1.92787,1419.30162,4601.95675
Link,DE0 2 home battery,home battery discharger,64.03459,1257.12704,842.12043
Link,DE0 2 low voltage,BEV charger,5124.221,31181.52586,48257.10166
Link,DE0 2 low voltage,electricity distribution grid,8236.51125,15900.8475,17581.35865
Link,DE0 2 low voltage,home battery charger,62.57723,1231.72791,825.10614
Link,DE0 2 low voltage,rural air heat pump,0.07639,0.03309,0.00087
Link,DE0 2 low voltage,rural ground heat pump,117.14028,860.73814,870.55348
Link,DE0 2 low voltage,rural resistive heater,127.09615,2684.71314,2656.25659
Link,DE0 2 low voltage,urban central air heat pump,0.04322,0.06155,0.00774
Link,DE0 2 low voltage,urban central resistive heater,20.55212,3513.38686,4836.85939
Link,DE0 2 low voltage,urban decentral air heat pump,117.45461,1016.22851,960.72802
Link,DE0 2 low voltage,urban decentral resistive heater,18.96904,4272.19677,4253.24497
Link,DE0 2 non-sequestered HVC,waste CHP,734.79476,737.50918,734.79718
Link,DE0 2 non-sequestered HVC,waste CHP CC,0.87627,184.16085,184.1681
Link,DE0 2 process emissions,process emissions,804.66749,0.02227,0.00011
Link,DE0 2 process emissions,process emissions CC,1.25113,726.96748,726.96891
Link,DE0 2 rural heat,rural water tanks charger,680.74103,754.12022,754.37199
Link,DE0 2 rural water tanks,rural water tanks discharger,680.74103,754.12022,754.37199
Link,DE0 2 solid biomass,biomass to liquid,0.08174,0.05535,0.00148
Link,DE0 2 solid biomass,biomass to liquid CC,0.05756,0.04588,0.00301
Link,DE0 2 solid biomass,rural biomass boiler,1944.50601,1283.38495,3e-05
Link,DE0 2 solid biomass,solid biomass,163.32591,,
Link,DE0 2 solid biomass,solid biomass for industry,752.19629,898.31768,0.00064
Link,DE0 2 solid biomass,solid biomass for industry CC,0.25853,1.41176,1118.72214
Link,DE0 2 solid biomass,urban central solid biomass CHP,11554.54447,1883.36402,33.6265
Link,DE0 2 solid biomass,urban central solid biomass CHP CC,0.05729,0.03639,0.00168
Link,DE0 2 solid biomass,urban decentral biomass boiler,3405.79141,3905.38058,5173.48208
Link,DE0 2 unsustainable bioliquids,unsustainable bioliquids,6149662.69221,2054617.56263,
Link,DE0 2 urban central heat,urban central water pits charger,672.26824,3398.37745,6017.92824
Link,DE0 2 urban central heat,urban central water tanks charger,1.67517,2.14652,0.43278
Link,DE0 2 urban central water pits,urban central water pits discharger,672.26824,3398.37745,6017.92824
Link,DE0 2 urban central water tanks,urban central water tanks discharger,1.67517,2.14652,0.43278
Link,DE0 2 urban decentral heat,urban decentral water tanks charger,27.36903,1171.82834,1172.05937
Link,DE0 2 urban decentral water tanks,urban decentral water tanks discharger,27.36903,1171.82834,1172.05937
Link,DE0 3,DAC,0.01218,0.01364,0.00156
Link,DE0 3,H2 Electrolysis,0.05116,5101.97813,5101.99563
Link,DE0 3,battery charger,0.55898,5333.73447,5563.61296
Link,DE0 3,electricity distribution grid,9567.66515,15427.49577,18843.14873
Link,DE0 3 H2,Fischer-Tropsch,0.14366,18.35902,18.37067
Link,DE0 3 H2,H2 Fuel Cell,0.09432,0.13834,0.00402
Link,DE0 3 H2,H2 pipeline,17.75347,25.22444,15.76205
Link,DE0 3 H2,H2 turbine,0.40061,20.40401,21.36119
Link,DE0 3 H2,Sabatier,0.06228,0.09445,0.00245
Link,DE0 3 H2,methanolisation,32.20858,32.88081,0.02961
Link,DE0 3 battery,battery discharger,0.572,5443.71995,5678.3387
Link,DE0 3 biogas,biogas to gas,1498.0927,1498.13862,0.00421
Link,DE0 3 biogas,biogas to gas CC,2.62865,0.04569,596.49135
Link,DE0 3 co2 stored,CO2 pipeline,0.6053,305.62431,1728.25501
Link,DE0 3 home battery,home battery discharger,35.02315,12.18999,9.13376
Link,DE0 3 low voltage,BEV charger,6306.16178,38373.78338,59387.97139
Link,DE0 3 low voltage,electricity distribution grid,9567.66515,15427.49577,18843.14873
Link,DE0 3 low voltage,home battery charger,34.22606,11.9437,8.94922
Link,DE0 3 low voltage,rural air heat pump,0.05672,0.03601,0.00088
Link,DE0 3 low voltage,rural ground heat pump,161.94707,1283.17833,1335.83794
Link,DE0 3 low voltage,rural resistive heater,259.90032,4188.74432,3995.92581
Link,DE0 3 low voltage,urban central air heat pump,0.05427,757.23531,757.23818
Link,DE0 3 low voltage,urban central resistive heater,2634.59281,5526.3454,5230.6768
Link,DE0 3 low voltage,urban decentral air heat pump,177.97184,224.76011,558.5734
Link,DE0 3 low voltage,urban decentral resistive heater,0.60198,974.95882,2378.23728
Link,DE0 3 non-sequestered HVC,waste CHP,902.64048,1417.19571,1417.19739
Link,DE0 3 non-sequestered HVC,waste CHP CC,0.89712,0.22577,0.00235
